,CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,DEATH_COUNT,PROBABLE_DEATH_COUNT,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,TOTAL_TESTS,POSITIVE_TESTS,PERCENT_POSITIVE,TOTAL_TESTS_7DAYS_AVG,POSITIVE_TESTS_7DAYS_AVG,PERCENT_POSITIVE_7DAYS_AVG,TOTAL_ANTIGEN_TESTS,TOTAL_ANTIGEN_TESTS_7DAYS_AVG,HOSPITALIZED_COUNT,HOSP_COUNT_7DAY_AVG,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,transit,walking
2020-03-03,1,0,0,0,0,0,0,0,15,1,0.0667,0,0,0.0,0,0,7,0,3.4,4.8,5.8,0.8,4.0,0.0,105.46,93.89,99.36
2020-03-04,5,0,0,0,0,0,0,0,35,5,0.1429,0,0,0.0,0,0,2,0,7.4,7.8,17.6,0.0,2.2,-0.2,107.92,98.65,110.29
2020-03-05,3,0,0,0,0,0,0,0,65,4,0.0615,0,0,0.0,0,0,14,0,8.2,9.2,19.8,0.4,3.0,-0.6,112.64,100.54,114.95
2020-03-06,8,0,3,3,0,0,0,0,87,8,0.092,0,0,0.0,0,0,8,5,-4.4,-2.2,-9.4,-3.6,2.2,1.6,126.8,108.43,121.34
2020-03-07,7,0,3,3,0,0,0,0,75,8,0.1067,0,0,0.0,1,0,8,6,6.8,8.4,22.2,3.0,6.4,-0.2,125.82,114.48,147.96
2020-03-08,21,0,6,6,0,0,0,0,112,21,0.1875,0,0,0.0,0,0,18,8,5.2,5.4,51.4,0.0,0.6,-0.2,96.7,86.13,110.32
2020-03-09,57,0,15,15,0,0,0,0,408,60,0.1471,111,15,0.1308,44,0,39,14,8.2,7.2,54.0,-1.4,2.0,0.6,104.61,92.2,114.55
2020-03-10,69,0,24,24,0,0,0,0,479,74,0.1545,176,25,0.1394,0,0,58,21,1.6,8.4,17.6,-4.6,-2.2,2.0,101.42,85.1,102.1
2020-03-11,155,0,46,46,1,0,0,0,816,165,0.2022,286,46,0.1622,0,0,80,32,2.2,10.0,21.4,-7.4,-3.2,2.2,100.27,81.65,97.08
2020-03-12,355,0,96,96,0,0,0,0,1617,370,0.2288,504,97,0.1923,0,0,108,46,-1.2,27.0,2.8,-12.2,-7.2,4.2,93.95,69.1,83.02
2020-03-13,619,0,183,183,0,0,0,0,2208,626,0.2835,803,185,0.2302,0,0,152,66,-8.4,26.4,10.0,-18.4,-12.0,6.4,100.36,66.28,86.93
2020-03-14,642,1,274,274,2,1,0,1,1769,664,0.3754,1037,276,0.2659,0,0,175,90,-12.2,19.0,31.4,-17.6,-3.8,4.0,88.65,58.17,80.86
2020-03-15,1035,0,419,419,4,0,1,1,2404,1055,0.4389,1360,422,0.3099,0,0,210,117,-18.8,11.0,27.8,-24.6,-10.4,5.2,64.46,40.65,53.22
2020-03-16,2121,1,714,714,8,1,2,2,5072,2192,0.4322,2014,718,0.3563,0,0,346,161,-19.8,18.6,-16.4,-35.2,-31.2,13.4,67.81,36.57,45.04
2020-03-17,2452,3,1054,1055,8,3,3,4,5717,2525,0.4417,2741,1060,0.3866,1,0,386,208,-31.8,12.2,-13.0,-41.4,-37.2,16.6,60.47,30.15,38.52
2020-03-18,2971,5,1456,1458,20,4,6,7,6487,3063,0.4722,3534,1464,0.4143,1,0,495,267,-33.4,8.0,1.0,-44.4,-40.4,17.6,59.38,27.35,38.01
2020-03-19,3707,4,1935,1937,24,3,9,11,7933,3792,0.478,4424,1945,0.4396,0,0,632,342,-40.4,-2.2,-18.2,-49.0,-44.8,20.4,54.24,25.2,33.0
2020-03-20,4007,3,2419,2422,47,3,16,18,8044,4120,0.5122,5248,2438,0.4645,0,0,747,427,-41.6,5.8,3.2,-49.0,-48.0,22.0,59.45,24.13,38.56
2020-03-21,2638,6,2704,2708,44,6,22,25,4955,2733,0.5516,5696,2728,0.4789,33,0,739,508,-48.0,1.2,1.2,-47.2,-33.6,14.2,49.13,18.74,32.23
2020-03-22,2580,4,2925,2929,49,3,29,32,4660,2708,0.5811,6015,2960,0.4922,0,0,772,588,-59.0,-21.4,-28.6,-57.4,-40.8,14.8,34.34,14.97,22.22
2020-03-23,3570,14,3132,3138,82,13,39,44,6001,3755,0.6257,6141,3181,0.5179,0,0,1145,702,-66.8,-43.2,-67.2,-68.4,-61.8,29.0,36.26,15.46,18.98
2020-03-24,4500,12,3425,3432,95,12,52,58,7588,4681,0.6169,6399,3486,0.5448,0,0,1313,835,-55.6,-19.8,-14.8,-61.8,-61.8,27.0,42.53,16.52,27.06
2020-03-25,4874,18,3697,3705,124,18,66,75,8075,5116,0.6336,6613,3768,0.5698,0,0,1410,965,-61.0,-29.6,-48.6,-65.2,-62.8,28.6,39.39,15.32,21.93
2020-03-26,5046,41,3888,3902,186,41,90,103,7802,5293,0.6784,6589,3979,0.6039,0,0,1542,1095,-56.8,-21.8,-11.8,-63.2,-63.4,28.2,43.45,16.05,27.1
2020-03-27,5117,41,4046,4066,218,41,114,133,7950,5336,0.6712,6575,4155,0.6319,0,0,1567,1213,-59.0,-24.4,-9.2,-62.6,-63.2,29.8,48.15,17.14,30.7
2020-03-28,3480,51,4167,4193,273,51,147,172,5162,3676,0.7121,6588,4281,0.6498,0,0,1389,1305,-68.4,-33.6,-55.8,-64.6,-50.8,20.0,37.18,13.4,20.61
2020-03-29,3561,63,4307,4341,290,63,181,215,5347,3754,0.7021,6680,4430,0.6633,1,0,1503,1410,-69.2,-36.4,-57.0,-66.2,-51.6,18.0,30.64,12.84,18.23
2020-03-30,6130,85,4673,4717,325,85,216,260,9360,6474,0.6917,7135,4809,0.6739,1,0,1850,1511,-60.2,-30.4,-42.8,-66.4,-66.0,29.0,39.39,15.43,23.46
2020-03-31,5459,85,4810,4864,385,84,257,312,8621,5771,0.6694,7277,4964,0.6821,3,0,1801,1580,-60.6,-29.8,-43.8,-67.2,-67.8,30.0,39.59,14.55,22.96
