,date,total_cases,new_cases,weekly_new_cases_average,new_cases_yesterday,new_deaths,weeky_new_deaths_average,new_deaths_yesterday,new_tests,weekly_new_tests_average,new_tests_yesterday,positive_rate,total_vaccinations,total_vaccinations_yesterday,people_vaccinated,people_vaccinated_yesterday,people_fully_vaccinated,people_fully_vaccinated_yesterday,stringency_index,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-03-01,2020-03-01,32.0,7.0,1.0,8.0,0.0,0.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,101.04,85.31,102.29,13.0,9.0,18.0,7.0,3.0,-1.0
2020-03-02,2020-03-02,55.0,23.0,2.0,7.0,5.0,0.0,0.0,521.0,53.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,107.73,98.06,99.2,7.0,6.0,10.0,2.0,3.0,-1.0
2020-03-03,2020-03-03,74.0,19.0,6.0,23.0,1.0,1.0,5.0,913.0,128.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,112.98,100.26,104.76,11.0,10.0,20.0,3.0,2.0,-1.0
2020-03-04,2020-03-04,107.0,33.0,8.0,19.0,4.0,1.0,1.0,896.0,258.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,113.05,101.5,104.61,8.0,6.0,17.0,2.0,3.0,-1.0
2020-03-05,2020-03-05,184.0,77.0,13.0,33.0,1.0,2.0,4.0,1199.0,386.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37,119.74,103.53,111.67,8.0,7.0,21.0,2.0,3.0,-1.0
2020-03-06,2020-03-06,237.0,53.0,24.0,77.0,2.0,2.0,1.0,1523.0,557.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37,139.98,111.5,133.94,5.0,3.0,12.0,2.0,2.0,-1.0
2020-03-07,2020-03-07,403.0,166.0,31.0,53.0,3.0,2.0,2.0,1789.0,775.0,1523.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,20.37,137.37,107.32,155.7,10.0,8.0,29.0,7.0,5.0,-1.0
2020-03-08,2020-03-08,519.0,116.0,54.0,166.0,4.0,2.0,3.0,1666.0,1030.0,1789.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,20.37,101.64,84.23,107.77,10.0,7.0,40.0,5.0,2.0,-1.0
2020-03-09,2020-03-09,594.0,75.0,70.0,116.0,1.0,3.0,4.0,2297.0,1215.0,1666.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,20.37,109.65,97.1,105.33,6.0,6.0,31.0,-1.0,0.0,0.0
2020-03-10,2020-03-10,782.0,188.0,77.0,75.0,6.0,2.0,1.0,3297.0,1469.0,2297.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,20.37,111.34,92.48,103.06,6.0,7.0,18.0,-3.0,-2.0,1.0
